,0
10,"The ultimate experience here! Beautiful, kind, attentive, caring SSBBW looking to be spoiled by one special man.. I'm looking for someone who loves giving oral pleasure. To be considered include a pic of yourself. I'm looking for someone with longevity and sensitivity. 33 and up apply..."
11,Hey. I'm actually a guy. Need some help for my wife. Will give more details. Serious only. Prefer older. Pic would be nice. Thanks!
12,"You can not taste me until u undress me.-Banana
You cannot eat me unless you lick me.-Ice Cream
You can not play with me unless you blow me.-Balloon
You can not enjoy me unless you suck me.-Lollipop
You make me wet and put me in your mouth everyday.-Toothbrush
You can not enjoy me unless u spread me.-butter
I am waiting your phone number..........................."
13,"Hello fellas I'm Autumn, imma shirt little young thing!! Text me n tell me what you would like!!! If interested text nineonefour sevenfiveeight eighteightfourthree"
14,"I am a college educated professional who is very thin and attractive. My former dating partner said I was very pretty  with a great body but he didn't want a real or serious relationship for various reasons. I have had trouble finding that special someone to be my partner or husband so I am considering a FWB emphasis on friend first as I am lonely for a man's attention and affection.  Please be a successful businessman or professional with good looks and great social skills. Picture required as physical attraction needs to be there and I am picky. NO MARRIED MEN, no secret afternoon affairs, and no I will not ""host"".  If you are single, we will meet at your house to prove it lol.  Please live somewhere close to 95 in FFCounty."
15,"Hello ,

I just recently ended a relationship with a dear friend and it's time to move on .
I'm looking for a new older lover someone in his 50s and up that's what I like . I'm young Latina and I'm very real and believe in getting straight to the point .
If your interested send a pic and why you like my ad . I love champagne fine dining and traveling ."
16,"(three four seven)
 six zero four
 three six zero one

 NY,NY

 Office Assistant
 Hi,I'm a young lady kindly seeking work as your new office manager's assistant I have worked in finance accounting before as a personal assistant,I need an offfice assistant job badly below are my qualifications
 if you could pull some strings and get me in lets talk txt me asap
seeking nine hundred weekly


 Qualifications:
 Super Upbeat, highly educated, extremely experienced in assisting in a small accounting office/ family office environment.

 Responsibilities:
 Duties were collecting research, working with prime accountants,calenders,I'm a Jack of all trades,Good with numbers, great with staying on top busy work schedule. 6 person office."
17,"I'm a 34yrs old female my height is 5'5 and weight is 154Lbs and long black hair. All natural. I have a 11yrs old son. I live Brooklyn,ny. single by choice. im mixed with Barbados and Haitian and Indian but born in Brooklyn. I do work and i know how to drive.

well im a smart ,fun, sexy, outgoing,loving, down to earth person.
I like movies,music. I love basketball and bowling and pool and shopping and driving a car around. im a female who likes a guy for whats inside that count to me.
Please no bs and no drama and no games. Real Man reply back. someone to treat me like queen."
18,"Bridgeport CT anonymous discreet GLORYHOLE action we don't see each other come in stick your cock in the gloryhole till climax then leave ages 18 to 40 only no endless emails.
send body pic in 1st email to get address and apt # .
no fats and please be clean.anonymous u don't see me I don't see you.. we don't speak at all u cum then leave asap disease free here you be too
CLEAN A PLUS
cock and body pic in 1st email or no response
cock and body pic in 1st email or no response
18 to 40"
19,Cute respectful staten island italian lady.looking for a good looking man kind loyal n loyal dont really expect too much from craiglist.im very smart n careful.im a non smoker and love dining out n alantic city n nature .my dog n being home or just cozy .n the great outdoors.im tired of online dating meeting guys isnt my problem its feeling the chemistry spark it must be there.send picture or i wont reply n be close to statenisland n. Il know it ur real good luck
20,"Im a black/Jamaican  female,25, looking for a long term relationship which might lead to marriage. I understand that these type of things do not occur overnight. I am looking for someone who has the same mind set. I am considered very attractive, could lose a few pounds, but, not huge,obese or a 'bbw'. I am stable, employed and drama free.

Please be around the same age and have the same requirements. Not looking for any type of one night stands, or fwb situations. all races welcomed. If YOU send a pic, you will receive one. Thanks for reading and have a great day ! :-)"
21,"Hello i am a single 38 yr old woman looking to have some fun while in town on business...i am 5""4,short dark hair,blue eyes and a bbw...i love sex,oral,kissing,spankings,being tied up,dirty talk,massages,and anything else fun...i am mobile...pic for pic..if serious reply horny in subject line"
22,"26 yr old African American and JamaicAn girl looking to date outside my race. I'm tall so I need someone tall and fit. Looking to possibly settle down and date. Movies, traveling, and dinners! Email a picture!"
23,"Sexy, sassy, classy, vibrant, beauty is seeking a gentleman who knows what he wants and isn't afraid to get it! On the other hand, I like spa treatments, getting my hair done, vacations, I want to be well kept. If you're interested please message me."
24,"Fifth shades of.... Pink


Filthy Shades of Grey is really interesting book and movie under the same name too. A lot of scenes are hot, erotic and even romantic, but it is still not in the frames of healthy love and under the rules of healthy relationship.

 Well-educated, classy, world-traveled, confident (but not self centered or selfish), multi-lingual
attractive, brunette with a fair skin, longer hair and perfect smile, 5'5, 125 lb, strong and independent, but not bossy-just very feminine, drama-free, monogamous by heart, one man-woman single woman is looking for a special man for long term- relationship.

Success in dating life is to find the right man that fits one's personality, desires, wishes, goals  and dreams. I believe that life is all energy and high quality single with positive energy attracts
the same one. That is the fifty shades of pink... 

Please be a good looking and relationship minded.  Thanks for a reading my photo and look forward to hearing from you with a recent photo."
25,"35 Year old plus size African American female looking for white males only ( no black ,Hispanic , Latino, Indian, Asian , or middle eastern) No exceptions as this is a fantasy that I want to fulfill. Please no married men. I am attached but not married so discretion is a must. please be between ages of 35-50. I have plenty of photos so your pic gets mine."
26,I am slim and fit white female with a nice soft touch. You are mature gentlemen with a nice place in the city. Maybe we should meet?
27,"Are you of the opinion that romantic relationships should, primarily, be based on shared sexual interests?

Are you religious?

What are your thoughts on feminism?

Should we legalize all drugs. And prostitution? 

Are you single? How old are you?

What are you passionate about?

Would you rather spend Friday evening out with friends. Or in with a lover?

Do you drink. Smoke. Or use any other drug?

Are you promiscuous?

What are yearning for?

I am 5'9"". 125lb. And look fantastic in lingerie. 

Your thoughts for mine."
28,"Hey there a bit about me; down to earth, attractive,  small bbw and im black incase your wondering, am looking to meet a great guy to get to know. I'm attracted to tall men, good looking and ambitious! Looking to date or relax, cuddle as we watch movies and enjoy each other's company. Open to any race, please be between 30-45 years of age. Reply to this ad only if you qualify with these attributes send a face pic and tell me a little about yourself."
29,"Also on OKCupid and Tinder but I like how straight forward the anonymity of CL lets me be. I'm looking for something that hopefully leads to a relationship, so if you're interested in monogamy read on: I'm 23, a writer and like beer and comedy.

I'm 5'6, my body type ranges from chubby to ""not fat at all.""I have dark hair and eyes. More importantly, I'm ambitious, intellectual, sarcastic, loving, sometimes overly serious but like to be silly. I want to spend more time outdoors which is hard to do in the city. I like laying in bed and cuddling and watching Game of Thrones. I haven't read Game of Thrones but I enjoy reading a lot. I went to a very good college and love learning. I'm a tech geek.

You? Under 35. I get along really well with people in academia and tech. You're into making plans but can also be spontaneous and silly. You identify as an intellectual. You're well educated -- this part is important to me for long term compatibility. You are self-sufficient and responsible. Eventually, you want to have a family. You went to a great school. You're also a little kinky in bed and love sex. Romantic gestures aren't lost on you. If any of this interests you message me!"
30,"Plenty of single men in ny but it's hard to find a good one. A little bit about me: I'm a sweet intelligent bbw ( carry my curves well because I am 5 10 ) , tall Caucasian woman seeking a man who enjoys the company of a bbw gal. I have brown hair and eyes and a pretty smile. I have a wonderful career, a great family and good friends but I want a man to date, have fun with and who's seeking a real relationship. He has to be finacially secure, single honest, handsome to me and intelligent. If your looking for same please reach out to me: tell me a little bit about yourself , please insert a picture, be single, be drug and disease free .. No married men, whacks, game players and please be sincere! ...

Thank u .. You won't be disappointed .."
31,"I am a sbf looking for a swm 30-45yo for a possible long term relationship I'm looking to connect as friends first or just companionship dates like going to movies, dinner, walks or anything, I enjoy a nice night out just as much as I enjoy a night cuddling on the couch watching a movie drinking wine or some good beer, im pretty laidback and generally like to go with the flow. I want a man that I am 100% comfortable being myself with and who feels the same way around me as I around him. I've been told I'm attractive and I think they're right lol, btw im a small bbw which means more to love lol, im not the sloppy kind though and I don't expect to be everyone's type but if your cool with it lets chat and take it from there, don't forget to include a pic when replying."
32,"Hi there,

I am Jessica. Looking for psychics interested in sharing ideas and be friends. Love to talk about any subject such as telepathy, clairaudience, clairvoyance, crystal healing, reiki, meditation techniques, tarot, astrology and more. Please contact me if interested."
33,I am Asian girl who is 25 with dark skin color. I am doing full time job . I want a polite boyfriend for long term relationship who is very loyal about relation . I am very adventurous . I love traveling a lot .
34,"Hey I love summer but after the fourth of July it goes by fast. 

I'm swf very pretty fun looking to meet a white fit meet white fit older professional. Please send me a picture."
35,Your overachieving younger stylish female potential protege seeks your acquaintance for friendship and chemistry.
36,"Guaranteed to relieve those sore muscles, or you just want to relax after a days work.

Have the words ""YES"" IN THE POSTING TITLE AND SEND A FACE PICTURE(no pic, no words, no response)

5ft 4 dark n Lovely skilled and trained.

Manhattan only over 30+

YOU HOST
Email for details
No sex No oral"
37,"Do you need a companion for Le Trapeze swing club? Look no further.... I'm a cute, bi, ebony co-ed who is smart and open minded and available to be your naughty companion! Prefer a white, educated guy over 40.  Let's have a wild nite!"
38,"Black Woman seeks White Males only

I want a guy who will finger me repeatedly until I squirt and orgasm.
IF we mesh well, it can lead to more. I haven't had sex in a while, so I'm really just looking for someone who can make me cum.  I'm also open to titty play.

I'm thick with large breasts.
Please be disease and drug free. No married or taken men - this includes being separated or being on a ""break.""

No men over the age of 45 or younger than 30.
Please don't waste my time either if you're not going to be responsive

Keywords
Sex sexual dick  masturbate penetrate vagina pussy suck fellatio oral naked nude anal blowjob handjob"
39,"I'm very free-spirited and grounded. My parents raised me in the South; near DC, so I'm a citizen. I have a great career, great friends, a great home, and all I'm missing is you in my life. I have never married, no kids, but hope to do & have both with the right one. No smokers, must care about your health; work out/eat healthy, and hate arguing. Forward your picture where I can clearly see your eyes."
40,"Hi boys!

Just looking for a partner to have a few strong beers with tonight. Money's tight so I'd like to stay local. I am a fun 27 year old blonde Bronx chick. Looking for good conversation and a fun time!"
41,Im a 26 year old latina seeking a male preferably hispanic from the ages 21 to 35 for hopefully a ltr. Hmu on kik innocentlove90 lets get to know each other first and see where it goes
42,"I would like to meet someone that is well established in the legitimate film industry to mentor me. I am 31, female, single, educated (graduate degree in film) and want to network with successful people in the business. If you work in the film business legitimately (not pornography), please email me."
43,"I'm looking to find someone I connect with....... 



Photo for photo (will not respond without one.) 



ME:

5'7, 30, White and Asian mixed descent, Manhattan, no kids, blue eyes, very long brown hair, porcelain skin, curves and a large bust, long toned legs, intelligent, witty, silly, fun, spontaneous, great cook, healthy, active, great concerstionalist, up on current events, avid reader, adore my friends and family, pet lover, volunteer with animal shelters. Don't smoke, light drinker, 420 friendly, open minded, liberal, empowered, strong and independent. 



You:

28-42 years old, White, Male, 5'10 and taller, non smoker, successful, no kids, steady job, funny, joy filled meaningful life. Lover of the arts, women, animals and life. No lying or cheating or playing games"
44,"I am looking for a boyfriend for long-term relationship (preferably a Chinese man). I am a 35 years old Cantonese girl. I grew up in NYC and speak Cantonese fluently and also speaks English.

I want to find a man between 35 to 43 years old who knows English and if you understand Cantonese speakers that would be a plus."
45,"beach ?
massage ?
relaxing bodywork ?
Do you deserve a treat ? ;)
Let`s work something out ! :) 
win-win ;)
(AFit/Swf/with/good!/hands!?)"
46,"I'm seeking a friend and see where it goes .... By no means am I looking for a hook up . I'm just looking for a nice respectful person to share time with and if it lends itself into a relationship great . I totally prefer simplistic . 
Be single and down to earth with a good mind and caring heart
Your pic gets mine ."
47,"Let's meet at  a hole in the wall place for drinks  and a bite
 to eat witty conversation and good laugh.
Keywords : spontaneous
Witty
Laughs
Conversation
Drinks"
48,"Hi 
Here are the basics. 42, black, full figured, tall 5'11. 
Looking for new friends or maybe more who knows. 
I like tall guys close in age to me. Definitely not married or in a relationship. Not trying to be someone's side chick. Please be real because I am. If I sound at all interesting send me a note. 
Tell me about yourself make me giggle. Be charming I have faith in you:)."
49,"Looking for a guy 26-45 who like me has never posted here or met anyone from this website, sleep with anyone or hookup, or posted naked pictures, who  is lonely and looking for a friend. Even though in the wrong place; people find treasures at garage sales all the time so I am hopeful.  

Share your life's experiences with a total stranger; share your desires and interest with me without being self-conscious. Nerdy, introverted men are whom I seem to be attracted to, if you have a whole bunch of experience sleeping around you are not my type. If you're looking for NSA, fwb there are many others here to choose from, I am not interested. I am plus size, 250lbs; I prefer someone who is very attracted to plus size women.  

If you are nerdy, geeky,  that's fine,  not experienced with relationship and not into head games perfect because neither am I. I am a low key girl plain jane,  36, no children,  black, plus size. Professional,  work, polite and respectful to others and you should too..."
50,"Hello cl man 
I'm looking for dating and what are u think about big chicken? 
I'm sweet, smart, a nice job, cute.
Hope to hear from u soon."
51,"I am a woman who enjoys having a man truly be a man and a provider. I like spending my time with a mature individual who knows how to treat a woman, and he knows how to make the most of each moment we spend together. 
I am seeking an intelligent, articulate, successful man for a relationship. 
I want to meet an individual who is open to new things and enjoying quality time with good company. That would be me of course. 
Lets indulge on a glass of wine and a fabulous meal.
******* please send me a photo of yourself and change the subject line to ""Friday"" Any potential who failed to follow these simple instructions will be deleted.*********"
52,"Hello, I'm 37 6'2 single looking for a good friend or a ltr..  I like to go to sports events, movie's, concerts ect. I can stay home and cuddle also.. Send pic no pic reply.."
53,"Hello,

I recently moved to NewYork for graduate school and seek an older gentlemen to keep company. I'm 5'7, have amazing curves, and long brown hair. I am a light complexioned African American. 

I would prefer an older Black man for this arrangement. Please email me with your photo and description of  what your looking for. 

Xoxo- Anya"
54,"You are an upscale sub, looking to be spanked and humiliated. You must be able to host in the city. I am beautiful domme, ready to visit you today or tomorrow"
55,"Online dating profile consultant available for all of your dating needs. For more info please email me back,"
56,"Very cute ,white bbw 37
Recently moved to Astoria..

Looking for a cool guy in the around here  to get to know, show me the cool spots in the area,420 with, and if there's an attraction and chemistry then perhaps an ongoing fun friend??

Please be over 30,and a non cig smoker!

Your face pic gets mine! ?"
57,"I'm a classy, very well put together and educated ebony goddess. Petite and Curvy in all the right places thus the small bbw term. I wear dress sz 10 American. Soft skin, impeccable hygiene and great manners. Though in my twenties, I'm attracted to older, affluent Caucasian gentlemen over 45! So don't hesitate to say hello for more info and to make plans(dinner/drinks/private show) for a magical evening - you won't regret it. 

Available to visit you in Manhattan below 96th st"
58,"Me: DJF. Sweet, smart, sassy, quirky, cool. Early 40s. Smart, confident and assertive yet sweet and eager to please. A smaller, but busty, BBW who will rock your world. Huge live music lover, especially the Dead/Phish/classic rock and jambands, but have pretty wide-ranging eclectic taste. Nice with just the right part naughty if the vibe is right.

You: WJM. Intelligent. Cute. Sweet and charming, but bold and able to take charge, too. Highly educated. Open-minded and adventurous. 420 friendly. Music lover. Also divorced or single - just have some time to play, please? And be able to separate from your smart phone for an hour, maybe even two. Mid-30's-late 40's. Likely an MOT since I am one and that's who I tend to be attracted to. (And, if you need to ask what that is, you're not.) Our passions may be different (although a passion for jambands and road trips would be excellent), but please be passionate about something - whether art, literature, music, vino, classic cars or sports. 

Both of us are looking for a like-minded soul. Tend to be bored with plain vanilla folks. We both have a bit of a currently untapped wild streak that wouldn't be immediately obvious if we met in our 9-5 lives. 

Hit me up. Who knows what could come from it? I'd love to meet a suitable playmate for (preferably ongoing) fun, 420, frolic and general mayhem-making. Please add the name of the last concert you went to in reply heading, so I know that you're not spam, and tell me a bit about yourself and why this ad piqued your interest. 

*Disclaimer - Not looking for a penpal or a ghost. If you can't tell me your real name, show me a photo without sunglasses or your face blurred out, or ever meet, save us both the time.*"
59,"Hi i'm Indian woman looking for a white intelligent gentleman between the age of 38 and 45. I would prefer someone who has been date Indian woman before. Someone who also have a good head on there shoulders And know what he wants.

About me I'm 45 years old I stand 5'3 &. 140  pounds And I also know what I want.

If you are interested please tell me little about you And a decent picture would be nice.
I am also not looking for a married man or someone who is living home with someone.I also prefer someone in the city.

If you are interested please be available for a couple coffee or a glass of wine!

Thank!"
60,"Very pretty ebony women seeking to meet with an attractive Caucasian gentleman for casual LTR dating relationship. I'm Sngle with no children, Fit and healthy. I enjoy many things that we can discuss in person over lunch or dinner.
In your reply please change the subject heading to your location area to ensure distance is not an issue. and please include a little about yourself, your age along with your photo. I'm not interested in long distance dating so please be local.
My preference 45 yrs of age or older. 
No photo, No reply.
Thank You"
61,"Hello my name is Donna. I am a 44year old single black female
From long island. I am 5-2 200 and thick. what I am seeking is a very nice
Single black man age 40 and up for friendship. If you like what you see please get back to me let's get to know
Each other. Please have a good head on your shoulders and know what you want.
Please add a pic. Thank you."
62,"I'll probably be flagged and removed but had to take the shot. I'm tired of being alone so I posted here hoping I get lucky. I am an African-American woman (secretly) living with HIV. I have never been one to sleep around nor use any type of drugs. I was infected by a long-term partner, who I foolishly trusted. I was broken-hearted and it hurt for a long time. Time to move past it. I want a man in my life on a romantic level. I miss it. I deserve it! I've been searching endlessly for a compatible man with the same condition. I have my reasons for seeking an HIV+ partner. If you ask me why, I'll tell you. Little to no luck on the STD dating sites so I came here. 
Here goes...
I am dark-skinned, over 40, have an average face and a plump, imperfect body. Hold off on sending pics as I'd like to determine if we have anything in common before breaking anonymity. I'm the quiet type unless engaged and stimulated. Comfortable silences are very underrated. I enjoy simple pleasures. Care more about the content of your character than the contents of your wallet. I have my own interests and we don't have to be joined at the hip. But a man who likes you will make the time. I don't do drama, stress, pressure or arguments. I'll just be gone.

-HIV+ men ONLY. Need to see that in print.
-Negative men contacting me after I've asked them not to...are you crazy? Why walk this road if you don't have to? Your motives and intentions will be suspicious from the start. 
-Actual first date...very little expense (coffee? ice cream? a stroll with my arm in yours?) and easy, comfortable conversation is what works for me. Broad daylight, public place, short and sweet. Despite my circumstances, I am still a lady...in public. After we part, if you call me again, I'll know you're seriously interested. I won't call you after our first date. I appreciate a man who takes the lead. 
-No attached men. Period. I look forward to frequent ""get-togethers"" with my special friend and don't like to share. I'm very selfish in that regard. Also, it's one thing if you take the risk for yourself. But if there's someone at home...not cool.
-Not at all attracted to super-skinny men (under 175 lbs.). I'm very thick, don't want to break you and sometimes heavy lifting will be involved. Just got an image in my head of a hotdog in a hamburger bun. LOL.
-Facial hair is a no-no for me unless it's very short and neatly trimmed. 
-I like a man who prefers calling to texting, even if it's brief. Hearing your voice makes me smile. Always thought texting should be a secondary means of communication when you're involved with someone. 

TURN-OFFS...
-Poor hygiene
-Illegal drugs (yes, even weed).
-Hard, heavy drinkers.
-Bisexual men who don't share that little tidbit of info BEFORE intimacy occurs.

I took the time and made the effort to spell things out. It's a big step for me. Hope the man who responds is available, ready, willing and able to take two steps towards me."
63,"I just want a large man who would want to suckle three times a week. I Live & work in North Jersey and I would host, I am also LI for part of my week most weeks. Attractive Latina, under 40, 145lbs shapely. Long auburn hair (I dye it sometimes brown or blonde) I enjoy the pleasures of being suckled for a long period of time. I find larger men to be irrisistable because they tend to have huge hearts and an incredible appetite. Just feast on me for hours HOPEFULLY and the attraction and chemistry is right....who knows. Pics for pics.
chat soon"
64,"Mature blk woman , if your have no interest in a blk woman move on, thx
Don't just reply and ask for a pic... Not happening.  Staten Island Area only 
I am single and in my 50's and proud to say I don't look it.
Looking for a respectable real single man who knows how to treat a woman and understands I am a mom.  I can busy at times but will always make time for the right man.  Is that you. ? 
Contact me with a pic and some info about who,you are and what your looking for. I will reply with a pic once I know your real and we both are comfortable.   
I dont have any interest if your in your 30's or younger do let's not waste my time or yours

Let's meet for coffee and chat and see where it can go hopefully a ltr.  But a friend first. 
Thx"
65,"Where are the mature single men who understands what friends mean ? 
Mature men over 40 ONLY !! Pls
Also understands dick pics are rude !!
No smoking, but lite drinker is ok. D and D free I am. 
Knows having email chat and getting to know each other is important.
I am a single mature black woman and I can be busy at times but make time for right man.
Pls reply with information about yourself who you are, age, location, married/ kids. 
I have a child so kids are ok.  If your married move on. If you don't have any interest in a black woman move on. 

Have a good day ?"
66,"Ages 34 - 45. Looking for someone to get to know, hang out, and see where it takes us. Laughter is good for the soul, so you must enjoy laughter. Someone not looking for a casual hook up. I want something a little bit more than that. I have HSV(herpes/cold sores). You would be surprised how many ppl are. 1 out of 4 is a lot. I take daily antivirals when I am with someone and try to live a stress-free life. HSV doesn't define the person I am. I am and will always be me. Please attach facial pic. Then I will send one. I use Skype for quick video chat to make sure person in pic is the same, so if you don't have it, please download. I need to see who I am chatting with. Sorry. God bless and safe searching."
67,"Ages 34 - 45. Looking for someone to get to know, hang out, and see where it takes us. Laughter is good for the soul, so you must enjoy laughter. Someone not looking for a casual hook up. I want something a little bit more than that. I have HSV(herpes/cold sores). You would be surprised how many ppl are. 1 out of 4 is a lot. I take daily antivirals when I am with someone and try to live a stress-free life. HSV doesn't define the person I am. I am and will always be me. Please attach facial pic. Then I will send one. I use Skype for quick video chat to make sure person in pic is the same, so if you don't have it, please download. I need to see who I am chatting with. Sorry. God bless and safe searching."
68,"Look for someone who has a sense of fun, no smoking ,no using drug , who is between 40 and 54 years old who's audacious, who's forthcoming, who has college degree, who has even a small scrap of passion for the planet,who has kid someone who's decent, has a sense of justice ,who thinks I'm worthwhile ,no smoking ,no drug ,no drama and diseases free and who will apply to my ad with current photos. i will not respond who does not have photos and who does not live in NY,NJ. Thank you for your time"
69,"If you are like me, your sentimental education has been a bit topsy turvy. Even so you do not approach relationships the way the burn victim approaches the stove, but rather do your best at building on what you have learned along the way and feel ready to cook again. You are 55-62 and live within a reasonable distance from Brooklyn, your heart is bigger than your well-developed frontal cortex, and your lizard brain is not tamed. You are secular and lean to the left. You are unattached and available. You have opinions and like women with opinions. You have passions, but your passions do not dictate you. You know difference between right and wrong, but you're not dogmatic. In your reply you will not be compelled to quote the Beatles, nor use the words: fireplace, beach, full head of hair."
