,0
26,"Hello, I'm a divorced, college educated, professional female (software engineer). I'm attracted to Asian American men ( Korean, Japanese, Chinese).... No offense to others it's just a preference of mine. :-)


Interested in professional, easy-going man with a sense of humor. Seeking someone clean cut, well-rounded, and educated. Family, friends, and a balanced & healthy lifestyle are important. While I'm looking for the right LTR I'm not looking to rush things. Let's have fun getting to know each other and take it from there. Here list of a few more things I'm looking for.

-Non Smoker
-College degree
-Be financially responsible
-Single/Divorced (separated is not single or divorced)
-D/D free
-A nice/good guy
-No facial hair (I like to kiss and facial hair gets in the way)
-Be available emotionally and have time to put into a relationship. I know we're all busy here in the Bay area but make sure you have the time to put into a relationship to give it the best shot of working. 
-Live within 30 miles of Fremont.
-Appreciate bullet formatting. :-)
-I tend to do better with younger men... I'm 53 but have been told I look to be in my early 40s. Ideally 
40-53 would be my range but I wouldn't disqualify based on age. 
-Most importantly I'm not looking for a guy to just settle down and grow old with.... I want a true dynamic and passionate connection. I'm looking for all the trapping of a relationship. 

As for me I'm low maintenance and drama free. I have a positive attitude and enjoy life. I like outdoor activities but am comfortable hanging out at home. I am not materialistic and enjoy the simple things in life. I also try to lead a healthy lifestyle, I must confess I'm somewhat of a weekend foodie. :-) 

If interested, drop a line and tell me about yourself, No one liners, please use complete sentences and send a G-rated picture. I have a recent picture to share. In your reply post your location and age so I'll know you're real and your email doesn't end up in my Spam folder.

I'd like to exchange a few emails and then talk OTP before meeting to make sure we're a match. I don't want to exchange a lot of emails before meeting as I find a face to face is the best way to get to know a person. 

I posted this a few days ago and for some reason my post was deleted.  I tried to reply everyone that contacted me but not sure if the emails were able to be received because of the deletion.  I assure you I'm real...  If I weren't real I'd be much less specific right.  :-)

Thanks,
Deborah"
27,"Serious about my preferences, and that does include age.

I'm 42, latina, in search of my White Knight!

The things I would like out of this special friendship are, someone that I can connect with physically as well as intellectually. Someone I can have deep meaningful conversations to the lightest with! :) Someone to laugh and cry with. Share everything and anything, at full trust! Our secrets and only ours! Like special friends, soul mates... We can hangout, go out for lunch or dinner, have picnics, go for walks, hikes, travel/seek adventure, people watch, go to movies, or stay in, cook for each other, or together, teach me how to play videos games if you are a gamer?? =D haha. Put a flower in your head..or two! :) Be silly or cheesy together... cuddle, love each other. Simply just be together whenever we feel like, whenever life allows us to. I would like to find someone that I can care for and love, and in return do the the same for me. My heart is big and I would like to share it with someone special. It can be whatever we want it to be, as long as it is something meaningful and long lasting. See where this can lead.

I have been described by men as beautiful, cute, sexy, fun, funny, sweet and caring. To describe myself, I am caring, compassionate, passionate, hopeless romantic, sentimental, silly at times, but know when to be serious. I am a strong woman who can be vulnerable at times and I am not ashamed to say so. I have my flaws and I am very aware of them. They have helped me to learn and grow, better myself. They have made me the strong woman I am today, more and more each day. I am, simply put, a bubbly introvert.

I am attracted to younger men and they have always been attracted to me. We have always felt comfortable with each other, a special connection. I have been told I make them feel free, unleashed! And I too have always felt the same.

My preference is between the ages of late 30's to early 40's. I am attracted to slender build (average, depending on what you define average as. Haha), shy, introverted (I find this trait rather sweet, cute, attractive!), white/Caucasian guys, fair skinned with light eyes. Green, blue... No tattoos (well actually...It depends. How big are we talking and how many??). I am sorry, but it's what I like, and I have a right to my preference. It is what it is! As you have a right to yours! Please put your eye color in the subject line and describe yourself thoroughly including age so I'll know you read my preferences."
28,"BBW (size 18/20)

Looking for one ongoing FWB

FWB=physical connection And occasional hang out..

must be DD free, (safe play & NO420), single , clean, sane & fun! 

prefer single, black, late 20's to early 40's, w/stamina, you host or get a room

Very real, not a bot : ) 

I'm into multiple sessions, outdoor fun, and receiving backdoor play ;)

Trying to Avoid Spam, Reply with your favorite drink! 

No pic no reply.

No Couples"
29,"Hi, I am a pretty lady in search of a handsome, articulate & single man who wouldn't mind going to an A's game soon. I like a Smart guy who is driven, self sufficient & takes a lot of Pride in his appearance; I work ft & love to keep in shape by working out. Message me to see if we have some things in common... C'mon what are you waiting for ! ;-)

Please be from 24-35 Age
I will share pictures upon receiving Pictures. 

thank  you"
30,"Perhaps one day I might come across it. Perhaps not. Perhaps the possibilities may have come and gone for me.

 I wonder if the magic spark can ever come back into my life? I often think about it...from time to time. Perhaps you might be thinking the same thing.

 Being in my 40s and a single Mom, I have to admit, I have been truly in love in my lifetime and there is nothing like it. Simply nothing. 

 It's funny but, it is finding that one person that when I look at him, words are hard to come out of my mouth. When I sit next to him, there is no need for words. Simply look into his eyes and two hearts feel it without one single word. 

 The most astonishing things is, when we are married, it is so easy to see that men are interested in us but, there is nothing we can do about it ....The loyal ones anyway:)When you are divorced with children, things are very different. The questions I ask are interesting: 

 Is it over for me? 
 Is it even possible to find, rediscover and feel love again in your 40s? 
 Will my heart go nuts with a simple kiss? 

 Is it really possible to bring someone into my family? When? It HAS to take a long time because I would never introduce a man to my family unless I was convinced he was there for seriously LONG TERM. 

 How do we find that one? I HATE dating. It's as bad as trying on shoes. When we were younger, it was SO easy to meet then let things all fall into place. Now, we put up all sorts of obstacles. 

 Me? I am a happy, pretty grounded, and content mother. It would seem that I don't really need anything in my life. BUT, there is always that 'time', when I am alone that I think to myself, ""could it be different'? I am stable, secure and most weeks, there are a couple of days I get lonely and find myself reading through these posts and wonder what it would be like to meet someone for a drink and get to know each other. I think about it each week and do nothing about it. Today, I am writing my thoughts on here. 
 What kind of man do I truly adore? 

 - He is: 100% SINGLE, 40-early 50s (PLEASE respect my age request), Caucasian or European born (just my preference), genuinely happy with life, a kind person, loyal, honest, communicative, empathetic, clean cut, fit, health conscious, gentle and yet strong, emotionally-mentally-financially well balanced, with good old values and no drama around. 
 - He has high integrity and believes honesty is the only policy, his word is SOLID...he is NOT into deception
 - He is spiritual or believes in God but is not a fanatic. . . 
 - He longs for and craves his woman to notice him and spend time with him and holds her hand. Stares into her eyes...
 - He is truly compassionate and very caring 
 - He knows how to balance a relationship between his kids, work and his woman. 
 - He is not afraid of commitment and is looking for a life partner...
 - He doesn't have to be perfect...I am not either

 He is my dream. He has been my dream for a few years however, I ask God to help me somehow, someway, bring him into my life, slowly, gently, most beautifully and most understandingly. 

 If you took the time to read this dreary yet emotional outpouring, responses are not only welcome, they are desired.

 Me? I am feminine, attractive, slender, caring, low key yet passionate, financially secure, well educated and have traveled a lot both here and overseas. I am spiritual, spontaneous, non-materialistic, down-to-earth. I am into fitness and healthy living but I am not a fanatic. I would like to be a great addition to someone's life. Especially if you are close to your parents and children. My family lives in another country and sometimes, that makes things pretty hard not being around them. 

 Whoever you are. . .Thank you kindly for reading. I hope I touched one heart that is in the same place as mine. Although we may never meet, there is a tiny chance, we will. If these words resonate with you and you answered 'yes, that's me', to my little wish list, then we really should chat.

 If you have had no criminal record; (never been in trouble with the law...because I can't have any example like that around my child) and are SINGLE (not Married) I'm open to conversation.

 I leave you with one last thought......One heart. With so many people in this entire world, why, oh why is it SO hard to find our ONE HEART?... I don't want to give up on believing I can find you and you, me. When two hearts become one, there is NOTHING like it in our life time.

 I realize my posting is long and only the kind of man I'm looking for will actually read it and respond thoughtfully...please give me a glimpse into your intellect and spirit. Please be courteous and respond with a recent, clear photo without glasses. 

 Please don't take it personal if I don't reply to you. I will, only do so if I believe there's resonance and potential compatibility at different levels. I won't respond to one liners, won't call you or text you. No indecent pics. Not looking for sex here, so don't waste your time sending sex requests. 

 Don't believe in long distance relationships, so Please be within 30 miles of the South Bay. 

 Thanks for reading and Good Luck in your search!"
31,"Obviously, no two people are ever identical in their likes and dislikes, but finding someone who likes starry nights, holding hands, dining out, romantic dinner with candle lights, red wine and soft music by the fire or
 watch the sunset by the ocean , classic movies, live 
theater, traveling, and history, like myself would be great. I suppose I am still single today because I have not find the right person yet..
My mom used to tell me "" good things comes to people who have  patience "" 
 I'm not looking for a man I can live with... but a man I can not live without ! 
If you are that man ,you know what to do!!

 About me
 I am 138 lbs,5'3"",short hair curly brown color, olive skin color. I was married once and have a 26  year old son. I am not into games and very serious about finding my soul mate.
I am an educated,  hard working, loyal, friendly  with a big heart lady . I am also, very 
romantic and down to earth lady and ready to meet my soul mate.

Please send send your picturer 
Tell me about your self
Education 
Career 
Where you live?
Do you have kids?
Just to start ....thanks"
32,"Hello. I am a 43 year old single, height weight proportional, non-smoking professional Asian, but I think I look and act more like the girl next door on my days off. I am a bit conservative and seek a traditional relationship with a man who is also the clean cut, childless, active white collar type, between 40-55 (age).  If you would like a response please take the time to tell me about yourself."
33,"Hi guys,
I have no plans tonight..
Can you host with an idea? I'm kinda sad..
22 mixed n petite, sexy without the attitude.
Anyone able to roll or trip? If so, ++
Must be 420friendly 
Pic for Pic
No games.
Put ""fun"" in subject line. 
Friday Fun"
34,"It's Friday, I don't have any plans and was wondering if maybe there were someone out there in SF who is not currently going on vacation who would like to go out and enjoy some of the nice summer weather with me this evening.  I'm just looking for some company.  I'm pretty, wise and a lot of fun. I'd love to find someone who prides himself on being a gentleman, educated, sensual can carry on a decent conversation and is between 35 and 57 years old.  Maybe we can go have a glass of wine or food and just get to know one another this evening, unless you have some really exciting idea."
35,"I am a good-looking Asian female looking for a good man who is also looking for a long-term relationship. It would be nice if he were creative, considerate, polite, somewhat spiritual, non-smoker, intelligent.  I am non-judgemental, kind, polite, engaging, and like to laugh.  I enjoy talking to people, meeting new people, being in lively and happy upbeat settings, bright sunny days.  
If you fit those criteria, please contact me."
36,"Looking for an outgoing guy to hang out with whenever... Either to go grab a bite, watch a movie, play golf, get a drink, go dance and sometimes get intimate. If interested send me a pic and something about you."
37,My name in Georgette am a 30yrs old looking for a devoted Man who knows what's  he wants in life.Am a Nursing  student single Mom and  i am ready to settle down and ready to meet my soul mate.Am fun and love out sorry activities. If interested  hit me up.
38,"Likes to cook healthy food, travel, read, movies, gardening, theater, hiking, very social, volunteers, independent. I have a  satisfying life; I'd like a  LT partner to share it.  Educated, small size, non-smoking, social drinker, witty, creative woman with herpes looking for same in a long term partner. 

Seeking - near retirement, 5' 7"" -5'11"", thin side of average, 59-65, healthy without body art, stable, available, logistically able to do some traveling a plus.  Education, well written and spoken, liberal, non-religion appreciated."
39,"If your are
Honest and loyal 
Romantic and fun 
Your age is between 35 and 50
Tall 
Giving and understanding cause I am 
U r Handsome to cute 
Cool likeable personality 
Looking for something real down the line 
Race not an issue 
Black white hispanic I dont care as long as your a good kind man who is not a liar. 

I am a 
Nice and caring soul 
Fun and active 
likeable 
youthful in appearance, but emotionally mature 

I'm easy going in the sense that few things upset me and I can enjoy myself in just about any situation medium in body shape 
cute"
40,"I'm an attractive, single, divorced woman wanting a caring, honest, compassionate man who is also totally free from all past marriage and relationship stuff.  Like me you have room in your heart and life to develop a new friendship. Perhaps you are in this same boat with me.  Let's have Fun together, holding hands, hugs, communication (what do you like to talk about?).  I like sharing experiences, and laughing alot, and please don't talk politics about Hilary, Trump etc.  It bores me to death.  I live in Sonoma and only drive locally.  Would love to hear from you - you're in your 50s-60s and you will like me!"
41,"Looking for the spark. When you think about that person and you get excited when you're going to see them. I miss the dating aspect of relationships, and doing different things together. Whether it be going out or staying in. Anyone looking for the same?"
42,"Happy Friday! I'm looking to meet new people in which I share interests with. I'm a 39 y/o professional, single, no parent woman. I work hard & play harder. Let's communicate & see where it goes...

kik: missfaye99"
43,"I am looking for somebody with traditional values, somebody who I can connect with. I am well-educated, enjoy good conversation, funny jokes, quiet times and classical music. I am also quite athletic, enjoy jogging, hiking and outdoors."
44,"I've been searching for a good man and it's not easy to find one. And I want to start dating and make friends and see where it goes. Looking for a loving, respectful, loving, caring, sweet, thoughtful, romantic, generous, stable, understanding, honest, faithful man. Since am a bbw woman am looking for someone who has a healthy body, strong, clean and knows how to take care of his hygiene. I'm 43 yrs old, separated, 5'6 tall, dark brown eyes and hair. Pls make sure ur not into games, that your available not married or have a gf. No lies or pretends. Ty"
45,"Hi
I'm 42, single, white, never married/no kids, 5'9, brown hair, plus-size (BBW), atheist, independent, educated, musician, introverted, looking to meet new people to hang out with. I have a strong attraction towards Indians and Middle eastern men. My interests include gardening, music, dance, dining out, pottery, relaxing at home, animals, going to concerts, theater, and movies. My goal is to find friendship/companionship. If it develops into something more, then that is great too. The qualities that attract me are honesty, kindness, intelligence, humor, and logical thinking. 

I'm only interested in men who are:
-single. 
-at least 5'8,
-educated
-28-46 
-agnostic or atheist 
-a non-smoker/never done drugs
-willing to meet half-way. (I live in Sacramento.)

 When replying, please attach a clear, recent picture and tell me the basics about yourself. (Age, height, occupation, etc.) Thanks."
46,"I'm a 50-something woman with a playful and wise spirit who enjoys deep inquiry, engaging conversation and plenty of laughter. My interest is in finding and creating a committed partnership with someone whose body, brain, heart and soul are in good working order. Perfection is neither the goal nor the expectation. I am NOT interested in casual encounters of any kind, so please don't respond if that's your interest because you won't hear back from me. 

What matters in meeting is how we feel when we look in each other's eyes, what our hearts say when there is no need for words and how our bodies move together when there is no need for a dance floor. Resonance happens not with a mouse click but with the click that comes with presence and vulnerability and the willingness to show up with all of who we are. That's what matters to me, along with qualities like kindness and respect; hilarious humor and emotional intelligence; sexuality that is way too mature to ever be called casual and the recognition that the path of partnership, like nothing else, is a window into ourselves, each other and a very sweet way to move through the world. Really good kissing is way up there, too!

It's a stunningly gorgeous day and while I will squeeze every sweet moment out of it that I can, I also really want to share it with an extraordinary someone. 

Could that be you?

Want to join me as we delve into what's possible?"
47,"...seeking the right partner/companion/lover to connect with me in the dance of life.

Although you -- like me -- have traveled around the sun for quite a few decades, you are still active, attractive, bright, lively, fun, and engaged. We've both partnered before, but we're both single now, and we still long to experience and express once again the love that's in our hearts.

I seek a man who is age-appropriate (60-75) and lives within a reasonable driving distance of the mid-peninsula. Here are some specifics about me: newly septuagenarian; HWP (5'4""/~137 lbs.), healthy, vibrant, youthful; educated, intelligent, articulate; politically and spiritually progressive; enjoyer of music, movement, wine, spirits, and herb (all in moderation), but cannot tolerate tobacco; lifelong learner, turned on by people, ideas, activities; Caucasian, seeking same. Your description of yourself should be similar to mine.

Still there? Then please write to describe yourself, and why you think we might be a good match. Your response should include your age, location, and photo(s). I will happily reciprocate with my photo(s) if we seem to be a match."
48,"Seeking handsome muse for weekday adventures.
A scenic drive.
A nice lunch.
A little golf?
Please reply with a recent photo,
if you are game."
49,"How much love and attention is enough?
How many hearts do you need to break to prove you are lovable?
That said, I seek one special person to enhance and enrich my life.
Are you going with me?
If so, please send a photo with your reply."
50,"You are quite a bit brighter than average, as am I.

And like me, you are a communicator; good with words.

You don't mind writing a few paragraphs in response to my ad, describing yourself.

I am 5'7"" tall, with blue eyes, long dark-blond hair.

Physically very fit and healthy but not gym-toned. A bit rounder than I'd like but not much. I walk a lot in the hills, for exercise.

(Photos tend to draw hate mail so I stopped posting them.)

Retired, secure but not wealthy. I don't need you for money.

I want you for: companionship, conversation, and the physical pleasures including massage and everything else joyous couples do together.

:-)

I treat you well, and expect the same in return. I am kind and giving, but not foolish. I do not accept mistreatment.


I like: concerts, plays, festivals, art, gardening, science, history, anthropology, science fiction, and more.

Specifically, I like baroque, classical, early, and renaissance music, as well as folk, world music, and some rock. When I go to Dickens Fair or Renaissance Faires, I dress the part.

My creativity takes many forms, including visual art and songs. My career was in high tech stuff, so I have that ""left brain"" thing going too.

I am very friendly, affectionate, and open. I tend to give people the benefit of the doubt.

However, I have learned. . . .

It's a wide internet out there, and most people are not compatible with me, or even looking for anything like what I'm looking for!

I AM Looking for a ""long term relationship"" with someone who is actually available for that (e.g not married).

I do not respond to hate mail, to generic replies, or to overly brief notes.
(And yes I understand it makes some people angry that I'm filtering for people who are highly intelligent. Sorry, but it's necessary.)"
51,"Hi. Thanks for stopping by.  A bit myself - raised locally, 47, 5'2"" but still feel like a kid at times. Never married and no kids.

Love to travel and explore other cultures. Visited several countries so far and would love to meet someone who has that same sense of adventure and curiosity. Having said that, there are times I enjoy being a homebody.   Other interests include enjoy photography, trying new 
foods/restaurants, and great conversation.

Hoping to meet someone close to my age who is interested in getting to know a decent person.  Qualities I seek are down-to-earth, educated, sense of humor, well-rounded, and has his act together.  Also, i like the clean cut look. Health and fitness, spending time with friends, my faith and family are 
important and it would be nice he shares the same outlook.   If this sounds like someone you could hang out with for a little bit - drop a line. Please indicate age, interests, a little bit about yourself ."
52,"Went on vacation in Hawaii and quickly met a nice mature Polynesian man.  Tall, big muscles, nice tan, and handsome.  He showed me around the island.  We went back to his beach front house with a private beach.  We were naked and had wonderful sex.  He was very well endowed and nine inches and very very thick.  Slept naked with his arms around me.  We woke up early mornings and had sex and made love on the beach and in the warm waters, naked breakfast on the beach.  It was a wonderful romantic time. Ended up spend a whole week together and took me around secret place. We played around all over.  I am spoiled rotten now and am looking for someone with similar qualities."
53,"I am.looking for a single man (45 -65) to date and enjoy life with. Someone who will ultimately be my best friend and who is passionate and has a sense of humor and is looking for long term partnership.

Who I am looking for: Funny, handsome, fit, kids or no kids is fine, stable decent job, responsible, loyal and romantic. No smoking, drugs or heavy drinking please. Must like kids.

Me: 35, professional, educated, mom of 1, attractive, love country, cooking, traveling etc.

If interested drop me a line and tell me about yourself along with a pic. Thanks for reading!"
54,"Hello Love,

Are you my future hubby? 

Well I guess we need to get to know each other first to find out ;)

Hi I'm looking for my ""true love"" or my ""future husband"" someone like me who is also looking for a more serious and meaningful relationship..I know it takes time and work  in every relationship but I'm hoping that there is someone like myself who is looking for a life partner to grow old and gray with :)"
55,I want to find a serious relationship with a nice man that has time for me. I want to find someone I want to hug and kiss and not feel or be forced to do it. I want to be with someone that doesn't scare me. I want someone to spend my free nights with. I want someone to be my best-friend. I want some one to talk to the tv with. I want someone to love my flaws. I want to be myself and it be ok. I want someone that wants to be with me even if I had my period everyday and couldn't have sex. I want someone that likes me for me and doesn't want sex until the time is right and committed. I want a guy that will refuse to have sex with me and will tell me he feels pressure if he does.
